URL	chrom://pc-3vxg514/ChromeleonLocal/Data/2025/2025_w26.seq/10430.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2025_w26
Name	4C-DMBO_SPAAC_15jul25
Number	1419
Position	RC1
Comment	
Processing Method	General_ILK
Instrument Method	5-100pct_positive_3min
Type	Calibration Standard
Status	Finished
Inject Time	7/17/2025 11:21:45 AM +02:00
Volume (µl)	12.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	3.100000
Data Points	931
Detector	UV
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.172953
Signal Max.	1,200.339194
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:254 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	-0.000217
0.006667	0.2	-0.001450
0.010000	0.2	-0.004601
0.013333	0.2	-0.009473
0.016667	0.2	-0.014606
0.020000	0.2	-0.018501
0.023333	0.2	-0.020823
0.026667	0.2	-0.022565
0.030000	0.2	-0.025180
0.033333	0.2	-0.029390
0.036667	0.2	-0.034674
0.040000	0.2	-0.039847
0.043333	0.2	-0.043928
0.046667	0.2	-0.046590
0.050000	0.2	-0.048189
0.053333	0.2	-0.049395
0.056667	0.2	-0.050831
0.060000	0.2	-0.053153
0.063333	0.2	-0.056707
0.066667	0.2	-0.060896
0.070000	0.2	-0.064770
0.073333	0.2	-0.068256
0.076667	0.2	-0.072050
0.080000	0.2	-0.076395
0.083333	0.2	-0.080585
0.086667	0.2	-0.083739
0.090000	0.2	-0.085618
0.093333	0.2	-0.086661
0.096667	0.2	-0.087513
0.100000	0.2	-0.088673
0.103333	0.2	-0.090384
0.106667	0.2	-0.092686
0.110000	0.2	-0.095611
0.113333	0.2	-0.099205
0.116667	0.2	-0.103223
0.120000	0.2	-0.107008
0.123333	0.2	-0.109969
0.126667	0.2	-0.112109
0.130000	0.2	-0.113978
0.133333	0.2	-0.116200
0.136667	0.2	-0.118912
0.140000	0.2	-0.121440
0.143333	0.2	-0.122805
0.146667	0.2	-0.122543
0.150000	0.2	-0.121011
0.153333	0.2	-0.119334
0.156667	0.2	-0.118935
0.160000	0.2	-0.120659
0.163333	0.2	-0.128100
0.166667	0.2	0.127334
0.170000	0.2	2.532558
0.173333	0.2	11.527042
0.176667	0.2	30.304766
0.180000	0.2	54.853223
0.183333	0.2	75.466734
0.186667	0.2	85.147669
0.190000	0.2	84.214542
0.193333	0.2	77.597745
0.196667	0.2	69.914749
0.200000	0.2	62.846926
0.203333	0.2	55.682059
0.206667	0.2	47.334800
0.210000	0.2	37.718804
0.213333	0.2	27.796150
0.216667	0.2	18.983625
0.220000	0.2	12.597416
0.223333	0.2	9.496568
0.226667	0.2	9.933209
0.230000	0.2	13.578512
0.233333	0.2	19.635599
0.236667	0.2	27.025512
0.240000	0.2	34.641820
0.243333	0.2	41.573504
0.246667	0.2	47.210607
0.250000	0.2	51.247641
0.253333	0.2	53.638846
0.256667	0.2	54.551751
0.260000	0.2	54.337808
0.263333	0.2	53.441819
0.266667	0.2	52.184231
0.270000	0.2	50.603959
0.273333	0.2	48.569484
0.276667	0.2	45.974163
0.280000	0.2	42.738054
0.283333	0.2	38.732913
0.286667	0.2	33.890542
0.290000	0.2	28.419283
0.293333	0.2	22.840208
0.296667	0.2	17.771718
0.300000	0.2	13.666916
0.303333	0.2	10.697579
0.306667	0.2	8.796906
0.310000	0.2	7.766840
0.313333	0.2	7.369400
0.316667	0.2	7.375992
0.320000	0.2	7.586755
0.323333	0.2	7.839210
0.326667	0.2	8.014480
0.330000	0.2	8.040060
0.333333	0.2	7.887394
0.336667	0.2	7.564308
0.340000	0.2	7.103107
0.343333	0.2	6.547233
0.346667	0.2	5.940602
0.350000	0.2	5.321200
0.353333	0.2	4.718006
0.356667	0.2	4.150434
0.360000	0.2	3.629541
0.363333	0.2	3.159929
0.366667	0.2	2.741804
0.370000	0.2	2.372678
0.373333	0.2	2.048302
0.376667	0.2	1.763436
0.380000	0.2	1.512842
0.383333	0.2	1.291981
0.386667	0.2	1.097061
0.390000	0.2	0.924825
0.393333	0.2	0.772843
0.396667	0.2	0.639671
0.400000	0.2	0.524129
0.403333	0.2	0.424825
0.406667	0.2	0.340394
0.410000	0.2	0.269423
0.413333	0.2	0.210144
0.416667	0.2	0.160826
0.420000	0.2	0.120338
0.423333	0.2	0.087858
0.426667	0.2	0.062363
0.430000	0.2	0.042734
0.433333	0.2	0.027990
0.436667	0.2	0.017385
0.440000	0.2	0.010489
0.443333	0.2	0.007223
0.446667	0.2	0.007846
0.450000	0.2	0.012671
0.453333	0.2	0.021342
0.456667	0.2	0.032283
0.460000	0.2	0.042917
0.463333	0.2	0.050492
0.466667	0.2	0.052791
0.470000	0.2	0.048353
0.473333	0.2	0.036761
0.476667	0.2	0.019023
0.480000	0.2	-0.002750
0.483333	0.2	-0.026189
0.486667	0.2	-0.049283
0.490000	0.2	-0.070676
0.493333	0.2	-0.089627
0.496667	0.2	-0.105896
0.500000	0.2	-0.119774
0.503333	0.2	-0.131822
0.506667	0.2	-0.142280
0.510000	0.2	-0.150925
0.513333	0.2	-0.157564
0.516667	0.2	-0.162359
0.520000	0.2	-0.165733
0.523333	0.2	-0.168286
0.526667	0.2	-0.170685
0.530000	0.2	-0.172953
0.533333	0.2	-0.171904
0.536667	0.2	-0.156622
0.540000	0.2	-0.106097
0.543333	0.2	0.005814
0.546667	0.2	0.198987
0.550000	0.2	0.475998
0.553333	0.2	0.817889
0.556667	0.2	1.189013
0.560000	0.2	1.548647
0.563333	0.2	1.863205
0.566667	0.2	2.113196
0.570000	0.2	2.293748
0.573333	0.2	2.411052
0.576667	0.2	2.477349
0.580000	0.2	2.506218
0.583333	0.2	2.509459
0.586667	0.2	2.496171
0.590000	0.2	2.472959
0.593333	0.2	2.444028
0.596667	0.2	2.411743
0.600000	0.2	2.377707
