URL	chrom://pc-3vxg514/ChromeleonLocal/Data/2025/2025_w26.seq/78584.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2025_w26
Name	4C-DMBO-alkyne_15jul25
Number	1302
Position	BA1
Comment	
Processing Method	General_ILK
Instrument Method	5-100pct_positive_3min
Type	Calibration Standard
Status	Finished
Inject Time	7/15/2025 4:18:52 PM +02:00
Volume (µl)	12.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	3.100000
Data Points	931
Detector	UV
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.306163
Signal Max.	162.130665
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:254 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	-0.000072
0.006667	0.2	-0.000530
0.010000	0.2	-0.001833
0.013333	0.2	-0.004057
0.016667	0.2	-0.006726
0.020000	0.2	-0.009499
0.023333	0.2	-0.012684
0.026667	0.2	-0.016684
0.030000	0.2	-0.021537
0.033333	0.2	-0.027105
0.036667	0.2	-0.032959
0.040000	0.2	-0.038298
0.043333	0.2	-0.042436
0.046667	0.2	-0.045126
0.050000	0.2	-0.046538
0.053333	0.2	-0.047070
0.056667	0.2	-0.047190
0.060000	0.2	-0.047527
0.063333	0.2	-0.048839
0.066667	0.2	-0.051720
0.070000	0.2	-0.056308
0.073333	0.2	-0.062090
0.076667	0.2	-0.068118
0.080000	0.2	-0.073644
0.083333	0.2	-0.078610
0.086667	0.2	-0.083453
0.090000	0.2	-0.088429
0.093333	0.2	-0.093318
0.096667	0.2	-0.097728
0.100000	0.2	-0.101406
0.103333	0.2	-0.104390
0.106667	0.2	-0.107058
0.110000	0.2	-0.109880
0.113333	0.2	-0.113059
0.116667	0.2	-0.116431
0.120000	0.2	-0.119729
0.123333	0.2	-0.123017
0.126667	0.2	-0.126700
0.130000	0.2	-0.130986
0.133333	0.2	-0.135476
0.136667	0.2	-0.139395
0.140000	0.2	-0.142213
0.143333	0.2	-0.143888
0.146667	0.2	-0.144599
0.150000	0.2	-0.144658
0.153333	0.2	-0.144795
0.156667	0.2	-0.146069
0.160000	0.2	-0.149762
0.163333	0.2	-0.144019
0.166667	0.2	0.408254
0.170000	0.2	3.955241
0.173333	0.2	14.463985
0.176667	0.2	32.733327
0.180000	0.2	53.009275
0.183333	0.2	67.250826
0.186667	0.2	71.841795
0.190000	0.2	68.754687
0.193333	0.2	62.108972
0.196667	0.2	54.983180
0.200000	0.2	48.407489
0.203333	0.2	42.008718
0.206667	0.2	35.175468
0.210000	0.2	27.800663
0.213333	0.2	20.339160
0.216667	0.2	13.508267
0.220000	0.2	7.958554
0.223333	0.2	4.024643
0.226667	0.2	1.645957
0.230000	0.2	0.499003
0.233333	0.2	0.202898
0.236667	0.2	0.423800
0.240000	0.2	0.861955
0.243333	0.2	1.242067
0.246667	0.2	1.376378
0.250000	0.2	1.223341
0.253333	0.2	0.869089
0.256667	0.2	0.472008
0.260000	0.2	0.200265
0.263333	0.2	0.153034
0.266667	0.2	0.334164
0.270000	0.2	0.718970
0.273333	0.2	1.297551
0.276667	0.2	2.008641
0.280000	0.2	2.665810
0.283333	0.2	3.016118
0.286667	0.2	2.904960
0.290000	0.2	2.379643
0.293333	0.2	1.639076
0.296667	0.2	0.904491
0.300000	0.2	0.324307
0.303333	0.2	-0.050112
0.306667	0.2	-0.241087
0.310000	0.2	-0.306163
0.313333	0.2	-0.305331
0.316667	0.2	-0.282484
0.320000	0.2	-0.261013
0.323333	0.2	-0.248362
0.326667	0.2	-0.243281
0.330000	0.2	-0.241770
0.333333	0.2	-0.240475
0.336667	0.2	-0.237807
0.340000	0.2	-0.233713
0.343333	0.2	-0.228890
0.346667	0.2	-0.223949
0.350000	0.2	-0.218930
0.353333	0.2	-0.213439
0.356667	0.2	-0.207448
0.360000	0.2	-0.201644
0.363333	0.2	-0.196693
0.366667	0.2	-0.192668
0.370000	0.2	-0.189114
0.373333	0.2	-0.185218
0.376667	0.2	-0.180265
