URL	chrom://pc-3vxg514/ChromeleonLocal/Data/2025/2025_w26.seq/79027.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2025_w26
Name	4C-DMBO_iEDDAC_15jul25
Number	1420
Position	RC2
Comment	
Processing Method	General_ILK
Instrument Method	5-100pct_positive_3min
Type	Calibration Standard
Status	Finished
Inject Time	7/17/2025 11:26:28 AM +02:00
Volume (µl)	12.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	3.100000
Data Points	931
Detector	UV
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.163064
Signal Max.	801.458516
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:254 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	-0.000242
0.006667	0.2	-0.001650
0.010000	0.2	-0.005394
0.013333	0.2	-0.011623
0.016667	0.2	-0.019086
0.020000	0.2	-0.026060
0.023333	0.2	-0.031524
0.026667	0.2	-0.035700
0.030000	0.2	-0.039602
0.033333	0.2	-0.044178
0.036667	0.2	-0.049736
0.040000	0.2	-0.055666
0.043333	0.2	-0.060821
0.046667	0.2	-0.064499
0.050000	0.2	-0.066825
0.053333	0.2	-0.068422
0.056667	0.2	-0.069924
0.060000	0.2	-0.071571
0.063333	0.2	-0.073411
0.066667	0.2	-0.075827
0.070000	0.2	-0.079393
0.073333	0.2	-0.084060
0.076667	0.2	-0.088843
0.080000	0.2	-0.092637
0.083333	0.2	-0.095044
0.086667	0.2	-0.096393
0.090000	0.2	-0.097413
0.093333	0.2	-0.098868
0.096667	0.2	-0.101208
0.100000	0.2	-0.104452
0.103333	0.2	-0.108425
0.106667	0.2	-0.112944
0.110000	0.2	-0.117718
0.113333	0.2	-0.122371
0.116667	0.2	-0.126660
0.120000	0.2	-0.130511
0.123333	0.2	-0.134007
0.126667	0.2	-0.137345
0.130000	0.2	-0.140539
0.133333	0.2	-0.143344
0.136667	0.2	-0.145668
0.140000	0.2	-0.147819
0.143333	0.2	-0.150142
0.146667	0.2	-0.152591
0.150000	0.2	-0.154801
0.153333	0.2	-0.156499
0.156667	0.2	-0.157974
0.160000	0.2	-0.160077
0.163333	0.2	-0.163064
0.166667	0.2	0.251571
0.170000	0.2	3.447079
0.173333	0.2	14.125695
0.176667	0.2	34.653472
0.180000	0.2	59.703340
0.183333	0.2	79.333358
0.186667	0.2	87.538195
0.190000	0.2	85.668397
0.193333	0.2	78.904394
0.196667	0.2	71.411941
0.200000	0.2	64.274855
0.203333	0.2	56.529849
0.206667	0.2	47.270045
0.210000	0.2	36.756158
0.213333	0.2	26.160048
0.216667	0.2	16.800995
0.220000	0.2	9.575064
0.223333	0.2	4.727859
0.226667	0.2	1.945690
0.230000	0.2	0.638549
0.233333	0.2	0.204638
0.236667	0.2	0.181738
0.240000	0.2	0.302245
0.243333	0.2	0.464136
0.246667	0.2	0.644230
0.250000	0.2	0.820107
0.253333	0.2	0.950357
0.256667	0.2	1.020565
0.260000	0.2	1.130263
0.263333	0.2	1.519960
0.266667	0.2	2.451505
0.270000	0.2	4.075090
0.273333	0.2	6.443397
0.276667	0.2	9.531076
0.280000	0.2	13.096731
0.283333	0.2	16.592133
0.286667	0.2	19.389314
0.290000	0.2	21.192430
0.293333	0.2	22.243075
0.296667	0.2	23.156648
0.300000	0.2	24.581594
0.303333	0.2	26.943208
0.306667	0.2	30.372865
0.310000	0.2	34.778814
0.313333	0.2	39.972173
0.316667	0.2	45.782948
0.320000	0.2	52.139642
0.323333	0.2	59.119147
0.326667	0.2	66.993518
0.330000	0.2	76.303384
0.333333	0.2	87.971855
0.336667	0.2	103.422204
0.340000	0.2	124.567991
0.343333	0.2	153.471598
0.346667	0.2	191.563728
0.350000	0.2	238.650827
0.353333	0.2	292.290458
0.356667	0.2	348.088040
0.360000	0.2	400.948742
0.363333	0.2	446.698546
0.366667	0.2	483.279335
