URL	chrom://pc-3vxg514/ChromeleonLocal/Data/2025/2025_w26.seq/38450.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2025_w26
Name	photo-4C-DMBO_18jul25
Number	1516
Position	RC6
Comment	
Processing Method	General_ILK
Instrument Method	5-100pct_positive_3min
Type	Calibration Standard
Status	Finished
Inject Time	7/18/2025 1:53:21 PM +02:00
Volume (µl)	12.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	3.100000
Data Points	931
Detector	UV
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.192827
Signal Max.	195.987004
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:254 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	-0.000133
0.006667	0.2	-0.000888
0.010000	0.2	-0.002878
0.013333	0.2	-0.006373
0.016667	0.2	-0.011354
0.020000	0.2	-0.017701
0.023333	0.2	-0.025320
0.026667	0.2	-0.034182
0.030000	0.2	-0.043598
0.033333	0.2	-0.052217
0.036667	0.2	-0.059464
0.040000	0.2	-0.065407
0.043333	0.2	-0.069453
0.046667	0.2	-0.070950
0.050000	0.2	-0.070552
0.053333	0.2	-0.069973
0.056667	0.2	-0.070800
0.060000	0.2	-0.073737
0.063333	0.2	-0.078382
0.066667	0.2	-0.083363
0.070000	0.2	-0.086984
0.073333	0.2	-0.088191
0.076667	0.2	-0.087264
0.080000	0.2	-0.085586
0.083333	0.2	-0.084517
0.086667	0.2	-0.084450
0.090000	0.2	-0.084948
0.093333	0.2	-0.085517
0.096667	0.2	-0.085954
0.100000	0.2	-0.086300
0.103333	0.2	-0.086869
0.106667	0.2	-0.088082
0.110000	0.2	-0.090067
0.113333	0.2	-0.092590
0.116667	0.2	-0.095286
0.120000	0.2	-0.097824
0.123333	0.2	-0.100013
0.126667	0.2	-0.101817
0.130000	0.2	-0.103427
0.133333	0.2	-0.105249
0.136667	0.2	-0.107574
0.140000	0.2	-0.110513
0.143333	0.2	-0.114030
0.146667	0.2	-0.117457
0.150000	0.2	-0.119789
0.153333	0.2	-0.121038
0.156667	0.2	-0.122373
0.160000	0.2	-0.124806
0.163333	0.2	-0.128207
0.166667	0.2	-0.131426
0.170000	0.2	-0.133376
0.173333	0.2	-0.133985
0.176667	0.2	-0.133945
0.180000	0.2	-0.133806
0.183333	0.2	-0.133767
0.186667	0.2	-0.134064
0.190000	0.2	-0.134865
0.193333	0.2	-0.135988
0.196667	0.2	-0.137137
0.200000	0.2	-0.138201
0.203333	0.2	-0.139159
0.206667	0.2	-0.139871
0.210000	0.2	-0.140215
0.213333	0.2	-0.140293
0.216667	0.2	-0.140697
0.220000	0.2	-0.125544
0.223333	0.2	0.297868
0.226667	0.2	2.965672
0.230000	0.2	11.402638
0.233333	0.2	27.831883
0.236667	0.2	49.131355
0.240000	0.2	67.381790
0.243333	0.2	75.471545
0.246667	0.2	71.909781
0.250000	0.2	60.587274
0.253333	0.2	47.100140
0.256667	0.2	35.563540
0.260000	0.2	27.640587
0.263333	0.2	23.087133
0.266667	0.2	20.701980
0.270000	0.2	19.147979
0.273333	0.2	17.473489
0.276667	0.2	15.272209
0.280000	0.2	12.578255
0.283333	0.2	9.683533
0.286667	0.2	6.954590
0.290000	0.2	4.664797
0.293333	0.2	2.919930
0.296667	0.2	1.700688
0.300000	0.2	0.927311
0.303333	0.2	0.485647
0.306667	0.2	0.247557
0.310000	0.2	0.108011
0.313333	0.2	0.009614
0.316667	0.2	-0.064935
0.320000	0.2	-0.108162
0.323333	0.2	-0.081061
0.326667	0.2	0.087291
0.330000	0.2	0.432502
0.333333	0.2	0.869332
0.336667	0.2	1.235842
0.340000	0.2	1.466295
0.343333	0.2	1.685117
0.346667	0.2	2.085662
0.350000	0.2	2.717168
0.353333	0.2	3.401594
0.356667	0.2	3.848200
0.360000	0.2	3.850313
0.363333	0.2	3.405468
0.366667	0.2	2.684305
0.370000	0.2	1.904033
0.373333	0.2	1.221579
0.376667	0.2	0.703570
0.380000	0.2	0.350182
0.383333	0.2	0.129628
0.386667	0.2	0.001900
0.390000	0.2	-0.068683
0.393333	0.2	-0.107836
0.396667	0.2	-0.131195
0.400000	0.2	-0.147355
0.403333	0.2	-0.160476
0.406667	0.2	-0.171679
0.410000	0.2	-0.180452
0.413333	0.2	-0.186337
0.416667	0.2	-0.189868
0.420000	0.2	-0.191933
0.423333	0.2	-0.192827
0.426667	0.2	-0.192493
0.430000	0.2	-0.191188
0.433333	0.2	-0.189439
0.436667	0.2	-0.187611
0.440000	0.2	-0.185928
0.443333	0.2	-0.184647
0.446667	0.2	-0.183831
0.450000	0.2	-0.183352
0.453333	0.2	-0.183018
0.456667	0.2	-0.182408
0.460000	0.2	-0.181069
0.463333	0.2	-0.179061
0.466667	0.2	-0.176839
0.470000	0.2	-0.174724
0.473333	0.2	-0.172901
